Title,Title_link,kicker,package1,Thumbnail
How a Mar-a-Lago member helped set up the Brazil summit that exposed Trump to coronavirus,https://www.miamiherald.com/news/politics-government/article241026546.html,Politics,"March 13, 2020, 7:49 AM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5618154292001/aa3fae80-9486-4e7b-9713-09a5e0bce998/dc4e71ac-d5d4-4bd2-be64-dd9992530050/1280x720/match/image.jpg
"Fauci contradicts Trump, says US will do ‘more testing, not less’ for COVID-19",https://www.miamiherald.com/news/coronavirus/article243735987.html,Coronavirus,"June 23, 2020, 1:03 PM",https://www.miamiherald.com/latest-news/777thi/picture243736162/alternates/LANDSCAPE_768/AP20175586373842.jpg
"Coronavirus’ spread in GOP territory, explained in 6 charts",https://www.miamiherald.com/news/article243918757.html,News,"July 1, 2020, 5:28 AM",https://www.mcclatchy-wires.com/incoming/jeeih/picture243913632/alternates/LANDSCAPE_768/Election_2020_Virus_Spread_22318.jpg
Trump resort in Doral lays off or furloughs 560 workers during coronavirus shutdown,https://www.miamiherald.com/news/business/tourism-cruises/article242024541.html,Tourism & Cruises,"April 15, 2020, 10:53 AM",https://www.miamiherald.com/latest-news/p95d9l/picture242026386/alternates/LANDSCAPE_768/TRUMPRESORTDORAL00165JAI.JPG
"Trump, DeSantis stay in sync as the president’s home state fights coronavirus",https://www.miamiherald.com/news/politics-government/article241709286.html,Politics,"April 2, 2020, 7:59 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5618154292001/daebb69c-5c3d-4a6a-b262-be992c0bc196/main/1280x720/47s562ms/match/image.jpg
"Trump ‘not concerned’ over coronavirus exposure, but Mar-a-Lago touts virus precautions",https://www.miamiherald.com/news/health-care/article241165836.html,Health Care,"March 13, 2020, 2:23 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5618154292001/aa3fae80-9486-4e7b-9713-09a5e0bce998/dc4e71ac-d5d4-4bd2-be64-dd9992530050/1280x720/match/image.jpg
FDA revokes coronavirus emergency authorization for Trump-touted hydroxychloroquine,https://www.miamiherald.com/news/coronavirus/article243543712.html,Coronavirus,"June 15, 2020, 1:18 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/jit/5615998022001/14d0d9c5-dc2a-4cfa-bf2b-9cfdd94ab4dd/main/1280x720/28s437ms/match/image.jpg
"Trump declares national emergency for coronavirus, freeing funds for states",https://www.miamiherald.com/news/nation-world/national/article241170141.html,National,"March 13, 2020, 4:47 PM",https://www.vidaenelvalle.com/news/nation-world/481ffi/picture241177861/alternates/LANDSCAPE_768/Emergency%20Coronavirus%20Trump
Florida’s governor consults Trump in Washington before announcement on state reopening,https://www.miamiherald.com/news/politics-government/article242339311.html,Politics,"April 28, 2020, 4:07 PM",https://www.miamiherald.com/latest-news/2s1u66/picture238515128/alternates/LANDSCAPE_768/1178822153.JPG
Trump just sent anti-vaxxers an invitation to smear coronavirus vaccines | Opinion,https://www.miamiherald.com/opinion/op-ed/article242982236.html,Op-Ed,"May 25, 2020, 3:29 PM",https://www.miamiherald.com/latest-news/vj9j6o/picture242982486/alternates/LANDSCAPE_768/moncef%20slaoui.jpg
